0	1	2	3
PMID29656362-Kim up	748	10	0.013368983957219251
PMID29656362-Kim down	844	6	0.0071090047393364926
PMID25710473-IL15/RA up	2	0	0.0
PMID33339153-IL6/R up	2	0	0.0
PMID34410590-GWAS down	6	0	0.0
PMID33057964-Sanfilippo down	7	0	0.0
PMID34234395-Madar up	12	0	0.0
PMID34384464-Bai up	19	0	0.0
PMID34384464-Bai down	16	1	0.0625
PMID34194312-Lasso-Yu down	24	2	0.08333333333333333
PMID34194312-Lasso-Yu up	11	0	0.0
PMID34194312-DEG-Yu up	179	1	0.00558659217877095
PMID34194312-DEG-Yu down	429	8	0.018648018648018648
PMID34194312-HUB-Yu up	12	0	0.0
PMID34194312-HUB-Yu down	12	0	0.0
PMID32699331-Zakeri up	9	0	0.0
PMID32699331-Zakeri-deg up	21	0	0.0
s41048-019-0086-2-Wu up	13	1	0.07692307692307693
s41048-019-0086-2-Wu down	67	2	0.029850746268656716
PMID31984950-Lui up	3	1	0.3333333333333333
PMID31984950-Lui down	29	0	0.0
PMID32255787-Klein up	414	6	0.014492753623188406
PMID32255787-Klein down	427	8	0.01873536299765808
PMID29802388-S3m109 up	339	4	0.011799410029498525
PMID27799057-S7 up	433	0	0.0
PMID27799057-S7 down	555	1	0.0018018018018018018
PMID27989508-S8M14 up	342	0	0.0
PMID29110684-S5D2 up	55	0	0.0
PMID29110684-S5D2 down	47	1	0.02127659574468085
PMID29107053-S3 up	31	0	0.0
PMID29107053-S3 down	37	0	0.0
PMID29358399-S02 up	8	0	0.0
PMID29358399-S02 down	4	0	0.0
PMID30136084-S1 up	3	0	0.0
PMID30136084-S1 down	38	0	0.0
PMID29598827-S8a up	37	0	0.0
PMID30297968-S8 up	7	0	0.0
PMID30297968-S8 down	10	0	0.0
