GSE118553-Entorhinal_Cortex	GSE125583-fusiform gyrus	GSE15222-cortical	Avg	Name
0.91	0.82	0.8	0.8433333333333334	BoNE
0.83	0.81	0.82	0.82	PMID29656362-Kim
0.89	0.75	0.76	0.8000000000000002	PMID27799057-S7
0.87	0.77	0.75	0.7966666666666667	s41048-019-0086-2-Wu
0.83	0.76	0.8	0.7966666666666665	PMID29802388-S3m109
0.82	0.79	0.77	0.7933333333333333	PMID34194312-DEG-Yu
0.75	0.8	0.79	0.7799999999999999	PMID34194312-Lasso-Yu
0.81	0.75	0.69	0.75	PMID34384464-Bai
0.66	0.79	0.78	0.7433333333333335	PMID27989508-S8M14
0.8	0.73	0.68	0.7366666666666667	PMID30136084-S1
0.93	0.62	0.59	0.7133333333333334	PMID29110684-S5D2
0.58	0.77	0.75	0.7000000000000001	PMID31984950-Lui
0.62	0.7	0.78	0.6999999999999998	PMID29107053-S3
0.49	0.81	0.79	0.6966666666666667	PMID32255787-Klein
0.89	0.63	0.57	0.6966666666666667	PMID29598827-S8a
0.88	0.6	0.54	0.6733333333333333	PMID30297968-S8
0.54	0.74	0.67	0.65	PMID29358399-S02
0.74	0.66	0.54	0.6466666666666666	PMID34410590-GWAS
0.49	0.62	0.61	0.5733333333333333	PMID25710473-IL15/RA
0.61	0.6	0.5	0.57	PMID33339153-IL6/R
0.43	0.66	0.58	0.5566666666666666	PMID33057964-Sanfilippo
0.36	0.57	0.64	0.5233333333333333	PMID32699331-Zakeri
0.7	0.44	0.38	0.5066666666666667	PMID34234395-Madar
0.5	0.5	0.5	0.5	PMID34194312-HUB-Yu
0.13	0.48	0.66	0.42333333333333334	PMID32699331-Zakeri-deg
