	#Cont	#Expt	#Genes	Condition	GSEID	ROC-AUC	Series	Signature	Species	pvalue
0	70	219	(20,20)	GSE125583-fusiform gyrus	GSE125583	0.82	GSE125583	BoNE	Hs	5.21e-17
1	70	219	(748,844)	GSE125583-fusiform gyrus	GSE125583	0.81	GSE125583	PMID29656362-Kim	Hs	2.22e-16
2	70	219	(2)	GSE125583-fusiform gyrus	GSE125583	0.62	GSE125583	PMID25710473-IL15/RA	Hs	0.000669
3	70	219	(2)	GSE125583-fusiform gyrus	GSE125583	0.60	GSE125583	PMID33339153-IL6/R	Hs	0.0756
4	70	219	(6)	GSE125583-fusiform gyrus	GSE125583	0.66	GSE125583	PMID34410590-GWAS	Hs	0.000307
5	70	219	(7)	GSE125583-fusiform gyrus	GSE125583	0.66	GSE125583	PMID33057964-Sanfilippo	Hs	2.97e-05
6	70	219	(13)	GSE125583-fusiform gyrus	GSE125583	0.44	GSE125583	PMID34234395-Madar	Hs	0.135
7	70	219	(19,16)	GSE125583-fusiform gyrus	GSE125583	0.75	GSE125583	PMID34384464-Bai	Hs	7.55e-10
8	70	219	(24,11)	GSE125583-fusiform gyrus	GSE125583	0.80	GSE125583	PMID34194312-Lasso-Yu	Hs	6.24e-14
9	70	219	(179,429)	GSE125583-fusiform gyrus	GSE125583	0.79	GSE125583	PMID34194312-DEG-Yu	Hs	4.68e-13
10	70	219	(12,12)	GSE125583-fusiform gyrus	GSE125583	0.50	GSE125583	PMID34194312-HUB-Yu	Hs	nan
11	70	219	(9)	GSE125583-fusiform gyrus	GSE125583	0.57	GSE125583	PMID32699331-Zakeri	Hs	0.0527
12	70	219	(21)	GSE125583-fusiform gyrus	GSE125583	0.48	GSE125583	PMID32699331-Zakeri-deg	Hs	0.645
13	70	219	(13,67)	GSE125583-fusiform gyrus	GSE125583	0.77	GSE125583	s41048-019-0086-2-Wu	Hs	1.46e-11
14	70	219	(3,29)	GSE125583-fusiform gyrus	GSE125583	0.77	GSE125583	PMID31984950-Lui	Hs	4.72e-12
15	70	219	(414,427)	GSE125583-fusiform gyrus	GSE125583	0.81	GSE125583	PMID32255787-Klein	Hs	5.15e-16
16	70	219	(339)	GSE125583-fusiform gyrus	GSE125583	0.76	GSE125583	PMID29802388-S3m109	Hs	3.01e-11
17	70	219	(449,593)	GSE125583-fusiform gyrus	GSE125583	0.75	GSE125583	PMID27799057-S7	Hs	3.26e-11
18	70	219	(342)	GSE125583-fusiform gyrus	GSE125583	0.79	GSE125583	PMID27989508-S8M14	Hs	1.19e-14
19	70	219	(55,47)	GSE125583-fusiform gyrus	GSE125583	0.62	GSE125583	PMID29110684-S5D2	Hs	0.0021
20	70	219	(32,39)	GSE125583-fusiform gyrus	GSE125583	0.70	GSE125583	PMID29107053-S3	Hs	2.4e-07
21	70	219	(8,4)	GSE125583-fusiform gyrus	GSE125583	0.74	GSE125583	PMID29358399-S02	Hs	2.22e-10
22	70	219	(3,40)	GSE125583-fusiform gyrus	GSE125583	0.73	GSE125583	PMID30136084-S1	Hs	1.01e-08
23	70	219	(37)	GSE125583-fusiform gyrus	GSE125583	0.63	GSE125583	PMID29598827-S8a	Hs	9.57e-05
24	70	219	(7,10)	GSE125583-fusiform gyrus	GSE125583	0.60	GSE125583	PMID30297968-S8	Hs	0.00548
0	24	37	(20,20)	GSE118553-Entorhinal_Cortex	GSE118553	0.91	GSE118553	BoNE	Hs	1.14e-09
1	24	37	(748,844)	GSE118553-Entorhinal_Cortex	GSE118553	0.83	GSE118553	PMID29656362-Kim	Hs	2.68e-06
2	24	37	(2)	GSE118553-Entorhinal_Cortex	GSE118553	0.49	GSE118553	PMID25710473-IL15/RA	Hs	0.922
3	24	37	(2)	GSE118553-Entorhinal_Cortex	GSE118553	0.61	GSE118553	PMID33339153-IL6/R	Hs	0.353
4	24	37	(6)	GSE118553-Entorhinal_Cortex	GSE118553	0.74	GSE118553	PMID34410590-GWAS	Hs	0.00101
5	24	37	(7)	GSE118553-Entorhinal_Cortex	GSE118553	0.43	GSE118553	PMID33057964-Sanfilippo	Hs	0.393
6	24	37	(13)	GSE118553-Entorhinal_Cortex	GSE118553	0.70	GSE118553	PMID34234395-Madar	Hs	0.00677
7	24	37	(19,16)	GSE118553-Entorhinal_Cortex	GSE118553	0.81	GSE118553	PMID34384464-Bai	Hs	6.71e-05
8	24	37	(24,11)	GSE118553-Entorhinal_Cortex	GSE118553	0.75	GSE118553	PMID34194312-Lasso-Yu	Hs	0.00148
9	24	37	(179,429)	GSE118553-Entorhinal_Cortex	GSE118553	0.82	GSE118553	PMID34194312-DEG-Yu	Hs	1.62e-05
10	24	37	(12,12)	GSE118553-Entorhinal_Cortex	GSE118553	0.50	GSE118553	PMID34194312-HUB-Yu	Hs	nan
11	24	37	(9)	GSE118553-Entorhinal_Cortex	GSE118553	0.36	GSE118553	PMID32699331-Zakeri	Hs	0.0812
12	24	37	(21)	GSE118553-Entorhinal_Cortex	GSE118553	0.13	GSE118553	PMID32699331-Zakeri-deg	Hs	2.88e-08
13	24	37	(13,67)	GSE118553-Entorhinal_Cortex	GSE118553	0.87	GSE118553	s41048-019-0086-2-Wu	Hs	3.09e-07
14	24	37	(3,29)	GSE118553-Entorhinal_Cortex	GSE118553	0.58	GSE118553	PMID31984950-Lui	Hs	0.202
15	24	37	(414,427)	GSE118553-Entorhinal_Cortex	GSE118553	0.49	GSE118553	PMID32255787-Klein	Hs	0.915
16	24	37	(339)	GSE118553-Entorhinal_Cortex	GSE118553	0.83	GSE118553	PMID29802388-S3m109	Hs	5.69e-07
17	24	37	(449,593)	GSE118553-Entorhinal_Cortex	GSE118553	0.89	GSE118553	PMID27799057-S7	Hs	6.07e-08
18	24	37	(342)	GSE118553-Entorhinal_Cortex	GSE118553	0.66	GSE118553	PMID27989508-S8M14	Hs	0.022
19	24	37	(55,47)	GSE118553-Entorhinal_Cortex	GSE118553	0.93	GSE118553	PMID29110684-S5D2	Hs	4.78e-11
20	24	37	(32,39)	GSE118553-Entorhinal_Cortex	GSE118553	0.62	GSE118553	PMID29107053-S3	Hs	0.0833
21	24	37	(8,4)	GSE118553-Entorhinal_Cortex	GSE118553	0.54	GSE118553	PMID29358399-S02	Hs	0.923
22	24	37	(3,40)	GSE118553-Entorhinal_Cortex	GSE118553	0.80	GSE118553	PMID30136084-S1	Hs	2.96e-05
23	24	37	(37)	GSE118553-Entorhinal_Cortex	GSE118553	0.89	GSE118553	PMID29598827-S8a	Hs	5.57e-08
24	24	37	(7,10)	GSE118553-Entorhinal_Cortex	GSE118553	0.88	GSE118553	PMID30297968-S8	Hs	9.69e-08
0	187	176	(20,20)	GSE15222-cortical	GSE15222	0.80	GSE15222	BoNE	Hs	1.1e-24
1	187	176	(748,844)	GSE15222-cortical	GSE15222	0.82	GSE15222	PMID29656362-Kim	Hs	9.07e-29
2	187	176	(2)	GSE15222-cortical	GSE15222	0.61	GSE15222	PMID25710473-IL15/RA	Hs	0.000879
3	187	176	(2)	GSE15222-cortical	GSE15222	0.50	GSE15222	PMID33339153-IL6/R	Hs	0.582
4	187	176	(6)	GSE15222-cortical	GSE15222	0.54	GSE15222	PMID34410590-GWAS	Hs	0.105
5	187	176	(7)	GSE15222-cortical	GSE15222	0.58	GSE15222	PMID33057964-Sanfilippo	Hs	0.0701
6	187	176	(13)	GSE15222-cortical	GSE15222	0.38	GSE15222	PMID34234395-Madar	Hs	5.29e-05
7	187	176	(19,16)	GSE15222-cortical	GSE15222	0.69	GSE15222	PMID34384464-Bai	Hs	1.03e-09
8	187	176	(24,11)	GSE15222-cortical	GSE15222	0.79	GSE15222	PMID34194312-Lasso-Yu	Hs	1.64e-23
9	187	176	(179,429)	GSE15222-cortical	GSE15222	0.77	GSE15222	PMID34194312-DEG-Yu	Hs	5.74e-21
10	187	176	(12,12)	GSE15222-cortical	GSE15222	0.50	GSE15222	PMID34194312-HUB-Yu	Hs	nan
11	187	176	(9)	GSE15222-cortical	GSE15222	0.64	GSE15222	PMID32699331-Zakeri	Hs	1.98e-05
12	187	176	(21)	GSE15222-cortical	GSE15222	0.66	GSE15222	PMID32699331-Zakeri-deg	Hs	9.5e-07
13	187	176	(13,67)	GSE15222-cortical	GSE15222	0.75	GSE15222	s41048-019-0086-2-Wu	Hs	5.65e-16
14	187	176	(3,29)	GSE15222-cortical	GSE15222	0.75	GSE15222	PMID31984950-Lui	Hs	5.86e-17
15	187	176	(414,427)	GSE15222-cortical	GSE15222	0.79	GSE15222	PMID32255787-Klein	Hs	1.91e-23
16	187	176	(339)	GSE15222-cortical	GSE15222	0.80	GSE15222	PMID29802388-S3m109	Hs	6.45e-25
17	187	176	(449,593)	GSE15222-cortical	GSE15222	0.76	GSE15222	PMID27799057-S7	Hs	1.4e-19
18	187	176	(342)	GSE15222-cortical	GSE15222	0.78	GSE15222	PMID27989508-S8M14	Hs	1.3e-22
19	187	176	(55,47)	GSE15222-cortical	GSE15222	0.59	GSE15222	PMID29110684-S5D2	Hs	0.00263
20	187	176	(32,39)	GSE15222-cortical	GSE15222	0.78	GSE15222	PMID29107053-S3	Hs	8.63e-18
21	187	176	(8,4)	GSE15222-cortical	GSE15222	0.67	GSE15222	PMID29358399-S02	Hs	2.34e-08
22	187	176	(3,40)	GSE15222-cortical	GSE15222	0.68	GSE15222	PMID30136084-S1	Hs	1.08e-07
23	187	176	(37)	GSE15222-cortical	GSE15222	0.57	GSE15222	PMID29598827-S8a	Hs	0.00275
24	187	176	(7,10)	GSE15222-cortical	GSE15222	0.54	GSE15222	PMID30297968-S8	Hs	0.307
